ano;sg_uf;territorio;populacao;fonte_populacao
2004;MG;Minas Gerais;18993720;IBGE/TCU série 2001-2019
2004;ES;Espírito Santo;3352024;IBGE/TCU série 2001-2019
2004;RJ;Rio de Janeiro;15203750;IBGE/TCU série 2001-2019
2004;SP;São Paulo;39825226;IBGE/TCU série 2001-2019
2004;PR;Paraná;10135388;IBGE/TCU série 2001-2019
2004;SC;Santa Catarina;5774178;IBGE/TCU série 2001-2019
2004;RS;Rio Grande do Sul;10726063;IBGE/TCU série 2001-2019
2004;MS;Mato Grosso do Sul;2230702;IBGE/TCU série 2001-2019
2004;MT;Mato Grosso;2749145;IBGE/TCU série 2001-2019
2004;GO;Goiás;5508245;IBGE/TCU série 2001-2019
2004;DF;Distrito Federal;2282049;IBGE/TCU série 2001-2019
2005;RO;Rondônia;1534594;IBGE/TCU série 2001-2019
2005;AC;Acre;669736;IBGE/TCU série 2001-2019
2005;AM;Amazonas;3232330;IBGE/TCU série 2001-2019
2005;RR;Roraima;391317;IBGE/TCU série 2001-2019
2005;PA;Pará;6970586;IBGE/TCU série 2001-2019
2005;AP;Amapá;594587;IBGE/TCU série 2001-2019
2005;TO;Tocantins;1305728;IBGE/TCU série 2001-2019
2005;MA;Maranhão;6103327;IBGE/TCU série 2001-2019
2005;PI;Piauí;3006885;IBGE/TCU série 2001-2019
2005;CE;Ceará;8097276;IBGE/TCU série 2001-2019
2005;RN;Rio Grande do Norte;3003087;IBGE/TCU série 2001-2019
2005;PB;Paraíba;3595886;IBGE/TCU série 2001-2019
2005;PE;Pernambuco;8413593;IBGE/TCU série 2001-2019
2005;AL;Alagoas;3015912;IBGE/TCU série 2001-2019
2005;SE;Sergipe;1967791;IBGE/TCU série 2001-2019
2005;BA;Bahia;13815334;IBGE/TCU série 2001-2019
2005;MG;Minas Gerais;19237450;IBGE/TCU série 2001-2019
2005;ES;Espírito Santo;3408365;IBGE/TCU série 2001-2019
2005;RJ;Rio de Janeiro;15383407;IBGE/TCU série 2001-2019
2005;SP;São Paulo;40442795;IBGE/TCU série 2001-2019
2005;PR;Paraná;10261856;IBGE/TCU série 2001-2019
2005;SC;Santa Catarina;5866568;IBGE/TCU série 2001-2019
2005;RS;Rio Grande do Sul;10845087;IBGE/TCU série 2001-2019
2005;MS;Mato Grosso do Sul;2264468;IBGE/TCU série 2001-2019
2005;MT;Mato Grosso;2803274;IBGE/TCU série 2001-2019
2005;GO;Goiás;5619917;IBGE/TCU série 2001-2019
2005;DF;Distrito Federal;2333108;IBGE/TCU série 2001-2019
2006;RO;Rondônia;1562417;IBGE/TCU série 2001-2019
2006;AC;Acre;686652;IBGE/TCU série 2001-2019
2006;AM;Amazonas;3311026;IBGE/TCU série 2001-2019
2006;RR;Roraima;403344;IBGE/TCU série 2001-2019
2006;PA;Pará;7110465;IBGE/TCU série 2001-2019
2006;AP;Amapá;615715;IBGE/TCU série 2001-2019
2006;TO;Tocantins;1332441;IBGE/TCU série 2001-2019
2006;MA;Maranhão;6184538;IBGE/TCU série 2001-2019
2006;PI;Piauí;3036290;IBGE/TCU série 2001-2019
2006;CE;Ceará;8217085;IBGE/TCU série 2001-2019
2006;RN;Rio Grande do Norte;3043760;IBGE/TCU série 2001-2019
2006;PB;Paraíba;3623215;IBGE/TCU série 2001-2019
2006;PE;Pernambuco;8502603;IBGE/TCU série 2001-2019
2006;AL;Alagoas;3050652;IBGE/TCU série 2001-2019
2006;SE;Sergipe;2000738;IBGE/TCU série 2001-2019
2006;BA;Bahia;13950146;IBGE/TCU série 2001-2019
2006;MG;Minas Gerais;19479356;IBGE/TCU série 2001-2019
2006;ES;Espírito Santo;3464285;IBGE/TCU série 2001-2019
2006;RJ;Rio de Janeiro;15561720;IBGE/TCU série 2001-2019
2006;SP;São Paulo;41055734;IBGE/TCU série 2001-2019
2006;PR;Paraná;10387378;IBGE/TCU série 2001-2019
2006;SC;Santa Catarina;5958266;IBGE/TCU série 2001-2019
2006;RS;Rio Grande do Sul;10963219;IBGE/TCU série 2001-2019
2006;MS;Mato Grosso do Sul;2297981;IBGE/TCU série 2001-2019
2006;MT;Mato Grosso;2856999;IBGE/TCU série 2001-2019
2006;GO;Goiás;5730753;IBGE/TCU série 2001-2019
2006;DF;Distrito Federal;2383784;IBGE/TCU série 2001-2019
2007;RO;Rondônia;1453756;IBGE/TCU série 2001-2019
2007;AC;Acre;655385;IBGE/TCU série 2001-2019
2007;AM;Amazonas;3221940;IBGE/TCU série 2001-2019
2007;RR;Roraima;395725;IBGE/TCU série 2001-2019
2007;PA;Pará;7065573;IBGE/TCU série 2001-2019
2007;AP;Amapá;587311;IBGE/TCU série 2001-2019
2007;TO;Tocantins;1243627;IBGE/TCU série 2001-2019
2007;MA;Maranhão;6118995;IBGE/TCU série 2001-2019
2007;PI;Piauí;3032435;IBGE/TCU série 2001-2019
2007;CE;Ceará;8185250;IBGE/TCU série 2001-2019
2007;RN;Rio Grande do Norte;3013740;IBGE/TCU série 2001-2019
2007;PB;Paraíba;3641397;IBGE/TCU série 2001-2019
2007;PE;Pernambuco;8486638;IBGE/TCU série 2001-2019
2007;AL;Alagoas;3037231;IBGE/TCU série 2001-2019
2007;SE;Sergipe;1939426;IBGE/TCU série 2001-2019
2007;BA;Bahia;14080670;IBGE/TCU série 2001-2019
2007;MG;Minas Gerais;19273533;IBGE/TCU série 2001-2019
2007;ES;Espírito Santo;3351669;IBGE/TCU série 2001-2019
2007;RJ;Rio de Janeiro;15420450;IBGE/TCU série 2001-2019
2007;SP;São Paulo;39827690;IBGE/TCU série 2001-2019
2007;PR;Paraná;10284503;IBGE/TCU série 2001-2019
2007;SC;Santa Catarina;5866487;IBGE/TCU série 2001-2019
2007;RS;Rio Grande do Sul;10582887;IBGE/TCU série 2001-2019
2007;MS;Mato Grosso do Sul;2265813;IBGE/TCU série 2001-2019
2007;MT;Mato Grosso;2854642;IBGE/TCU série 2001-2019
2007;GO;Goiás;5647035;IBGE/TCU série 2001-2019
2007;DF;Distrito Federal;2455903;IBGE/TCU série 2001-2019
2008;RO;Rondônia;1493566;IBGE/TCU série 2001-2019
2008;AC;Acre;680073;IBGE/TCU série 2001-2019
2008;AM;Amazonas;3341096;IBGE/TCU série 2001-2019
2008;RR;Roraima;412783;IBGE/TCU série 2001-2019
2008;PA;Pará;7321493;IBGE/TCU série 2001-2019
2008;AP;Amapá;613164;IBGE/TCU série 2001-2019
2008;TO;Tocantins;1280509;IBGE/TCU série 2001-2019
2008;MA;Maranhão;6305539;IBGE/TCU série 2001-2019
2008;PI;Piauí;3119697;IBGE/TCU série 2001-2019
2008;CE;Ceará;8450527;IBGE/TCU série 2001-2019
2008;RN;Rio Grande do Norte;3106430;IBGE/TCU série 2001-2019
2008;PB;Paraíba;3742606;IBGE/TCU série 2001-2019
2008;PE;Pernambuco;8734194;IBGE/TCU série 2001-2019
2008;AL;Alagoas;3127557;IBGE/TCU série 2001-2019
2008;SE;Sergipe;1999374;IBGE/TCU série 2001-2019
2008;BA;Bahia;14502575;IBGE/TCU série 2001-2019
2008;MG;Minas Gerais;19850072;IBGE/TCU série 2001-2019
2008;ES;Espírito Santo;3453648;IBGE/TCU série 2001-2019
2008;RJ;Rio de Janeiro;15872362;IBGE/TCU série 2001-2019
2008;SP;São Paulo;41011635;IBGE/TCU série 2001-2019
2008;PR;Paraná;10590169;IBGE/TCU série 2001-2019
2008;SC;Santa Catarina;6052587;IBGE/TCU série 2001-2019
2008;RS;Rio Grande do Sul;10855214;IBGE/TCU série 2001-2019
2008;MS;Mato Grosso do Sul;2336058;IBGE/TCU série 2001-2019
2008;MT;Mato Grosso;2957732;IBGE/TCU série 2001-2019
2008;GO;Goiás;5844996;IBGE/TCU série 2001-2019
2008;DF;Distrito Federal;2557158;IBGE/TCU série 2001-2019
2009;RO;Rondônia;1503928;IBGE/TCU série 2001-2019
2009;AC;Acre;691132;IBGE/TCU série 2001-2019
2009;AM;Amazonas;3393369;IBGE/TCU série 2001-2019
2009;RR;Roraima;421499;IBGE/TCU série 2001-2019
2009;PA;Pará;7431020;IBGE/TCU série 2001-2019
2009;AP;Amapá;626609;IBGE/TCU série 2001-2019
2009;TO;Tocantins;1292051;IBGE/TCU série 2001-2019
2009;MA;Maranhão;6367138;IBGE/TCU série 2001-2019
2009;PI;Piauí;3145325;IBGE/TCU série 2001-2019
2009;CE;Ceará;8547809;IBGE/TCU série 2001-2019
2009;RN;Rio Grande do Norte;3137541;IBGE/TCU série 2001-2019
2009;PB;Paraíba;3769977;IBGE/TCU série 2001-2019
2009;PE;Pernambuco;8810256;IBGE/TCU série 2001-2019
2009;AL;Alagoas;3156108;IBGE/TCU série 2001-2019
2009;SE;Sergipe;2019679;IBGE/TCU série 2001-2019
2009;BA;Bahia;14637364;IBGE/TCU série 2001-2019
2009;MG;Minas Gerais;20033665;IBGE/TCU série 2001-2019
2009;ES;Espírito Santo;3487199;IBGE/TCU série 2001-2019
2009;RJ;Rio de Janeiro;16010429;IBGE/TCU série 2001-2019
2009;SP;São Paulo;41384039;IBGE/TCU série 2001-2019
2009;PR;Paraná;10686247;IBGE/TCU série 2001-2019
2009;SC;Santa Catarina;6118743;IBGE/TCU série 2001-2019
2009;RS;Rio Grande do Sul;10914128;IBGE/TCU série 2001-2019
2009;MS;Mato Grosso do Sul;2360498;IBGE/TCU série 2001-2019
2009;MT;Mato Grosso;3001692;IBGE/TCU série 2001-2019
2009;GO;Goiás;5926300;IBGE/TCU série 2001-2019
2009;DF;Distrito Federal;2606885;IBGE/TCU série 2001-2019
2010;RO;Rondônia;1560501;IBGE/TCU série 2001-2019
2010;AC;Acre;732793;IBGE/TCU série 2001-2019
2010;AM;Amazonas;3480937;IBGE/TCU série 2001-2019
2010;RR;Roraima;451227;IBGE/TCU série 2001-2019
2010;PA;Pará;7603239;IBGE/TCU série 2001-2019
2010;AP;Amapá;668689;IBGE/TCU série 2001-2019
2010;TO;Tocantins;1383453;IBGE/TCU série 2001-2019
2010;MA;Maranhão;6569683;IBGE/TCU série 2001-2019
2010;PI;Piauí;3119015;IBGE/TCU série 2001-2019
2010;CE;Ceará;8448055;IBGE/TCU série 2001-2019
2010;RN;Rio Grande do Norte;3168133;IBGE/TCU série 2001-2019
2010;PB;Paraíba;3766834;IBGE/TCU série 2001-2019
2010;PE;Pernambuco;8796032;IBGE/TCU série 2001-2019
2010;AL;Alagoas;3120922;IBGE/TCU série 2001-2019
2010;SE;Sergipe;2068031;IBGE/TCU série 2001-2019
2010;BA;Bahia;14021432;IBGE/TCU série 2001-2019
2010;MG;Minas Gerais;19595309;IBGE/TCU série 2001-2019
2010;ES;Espírito Santo;3512672;IBGE/TCU série 2001-2019
2010;RJ;Rio de Janeiro;15993583;IBGE/TCU série 2001-2019
2010;SP;São Paulo;41252160;IBGE/TCU série 2001-2019
2010;PR;Paraná;10439601;IBGE/TCU série 2001-2019
2010;SC;Santa Catarina;6249682;IBGE/TCU série 2001-2019
2010;RS;Rio Grande do Sul;10695532;IBGE/TCU série 2001-2019
2010;MS;Mato Grosso do Sul;2449341;IBGE/TCU série 2001-2019
2010;MT;Mato Grosso;3033991;IBGE/TCU série 2001-2019
2010;GO;Goiás;6004045;IBGE/TCU série 2001-2019
2010;DF;Distrito Federal;2562963;IBGE/TCU série 2001-2019
2011;RO;Rondônia;1576455;IBGE/TCU série 2001-2019
2011;AC;Acre;746386;IBGE/TCU série 2001-2019
2011;AM;Amazonas;3538387;IBGE/TCU série 2001-2019
2011;RR;Roraima;460165;IBGE/TCU série 2001-2019
2011;PA;Pará;7688593;IBGE/TCU série 2001-2019
2011;AP;Amapá;684309;IBGE/TCU série 2001-2019
2011;TO;Tocantins;1400892;IBGE/TCU série 2001-2019
2011;MA;Maranhão;6645761;IBGE/TCU série 2001-2019
2011;PI;Piauí;3140328;IBGE/TCU série 2001-2019
2011;CE;Ceará;8530155;IBGE/TCU série 2001-2019
2011;RN;Rio Grande do Norte;3198657;IBGE/TCU série 2001-2019
2011;PB;Paraíba;3791315;IBGE/TCU série 2001-2019
2011;PE;Pernambuco;8864906;IBGE/TCU série 2001-2019
2011;AL;Alagoas;3143384;IBGE/TCU série 2001-2019
2011;SE;Sergipe;2089819;IBGE/TCU série 2001-2019
2011;BA;Bahia;14097534;IBGE/TCU série 2001-2019
2011;MG;Minas Gerais;19728701;IBGE/TCU série 2001-2019
2011;ES;Espírito Santo;3547055;IBGE/TCU série 2001-2019
2011;RJ;Rio de Janeiro;16112678;IBGE/TCU série 2001-2019
2011;SP;São Paulo;41587182;IBGE/TCU série 2001-2019
2011;PR;Paraná;10512349;IBGE/TCU série 2001-2019
2011;SC;Santa Catarina;6317054;IBGE/TCU série 2001-2019
2011;RS;Rio Grande do Sul;10733030;IBGE/TCU série 2001-2019
2011;MS;Mato Grosso do Sul;2477542;IBGE/TCU série 2001-2019
2011;MT;Mato Grosso;3075936;IBGE/TCU série 2001-2019
2011;GO;Goiás;6080716;IBGE/TCU série 2001-2019
2011;DF;Distrito Federal;2609998;IBGE/TCU série 2001-2019
2012;RO;Rondônia;1590011;IBGE/TCU série 2001-2019
2012;AC;Acre;758786;IBGE/TCU série 2001-2019
2012;AM;Amazonas;3590985;IBGE/TCU série 2001-2019
2012;RR;Roraima;469524;IBGE/TCU série 2001-2019
2012;PA;Pará;7792561;IBGE/TCU série 2001-2019
2012;AP;Amapá;698602;IBGE/TCU série 2001-2019
2012;TO;Tocantins;1417694;IBGE/TCU série 2001-2019
2012;MA;Maranhão;6714314;IBGE/TCU série 2001-2019
2012;PI;Piauí;3160748;IBGE/TCU série 2001-2019
2012;CE;Ceará;8606005;IBGE/TCU série 2001-2019
2012;RN;Rio Grande do Norte;3228198;IBGE/TCU série 2001-2019
2012;PB;Paraíba;3815171;IBGE/TCU série 2001-2019
2012;PE;Pernambuco;8931028;IBGE/TCU série 2001-2019
2012;AL;Alagoas;3165472;IBGE/TCU série 2001-2019
2012;SE;Sergipe;2110867;IBGE/TCU série 2001-2019
2012;BA;Bahia;14175341;IBGE/TCU série 2001-2019
2012;MG;Minas Gerais;19855332;IBGE/TCU série 2001-2019
2012;ES;Espírito Santo;3578067;IBGE/TCU série 2001-2019
2012;RJ;Rio de Janeiro;16231365;IBGE/TCU série 2001-2019
2012;SP;São Paulo;41901219;IBGE/TCU série 2001-2019
2012;PR;Paraná;10577755;IBGE/TCU série 2001-2019
2012;SC;Santa Catarina;6383286;IBGE/TCU série 2001-2019
2012;RS;Rio Grande do Sul;10770603;IBGE/TCU série 2001-2019
2012;MS;Mato Grosso do Sul;2505088;IBGE/TCU série 2001-2019
2012;MT;Mato Grosso;3115336;IBGE/TCU série 2001-2019
2012;GO;Goiás;6154996;IBGE/TCU série 2001-2019
2012;DF;Distrito Federal;2648532;IBGE/TCU série 2001-2019
2013;RO;Rondônia;1728214;IBGE/TCU série 2001-2019
2013;AC;Acre;776463;IBGE/TCU série 2001-2019
2013;AM;Amazonas;3807921;IBGE/TCU série 2001-2019
2013;RR;Roraima;488072;IBGE/TCU série 2001-2019
2013;PA;Pará;7969654;IBGE/TCU série 2001-2019
2013;AP;Amapá;734996;IBGE/TCU série 2001-2019
2013;TO;Tocantins;1478164;IBGE/TCU série 2001-2019
2013;MA;Maranhão;6794301;IBGE/TCU série 2001-2019
2013;PI;Piauí;3184166;IBGE/TCU série 2001-2019
2013;CE;Ceará;8778576;IBGE/TCU série 2001-2019
2013;RN;Rio Grande do Norte;3373959;IBGE/TCU série 2001-2019
2013;PB;Paraíba;3914421;IBGE/TCU série 2001-2019
2013;PE;Pernambuco;9208550;IBGE/TCU série 2001-2019
2013;AL;Alagoas;3300935;IBGE/TCU série 2001-2019
2013;SE;Sergipe;2195662;IBGE/TCU série 2001-2019
2013;BA;Bahia;15044137;IBGE/TCU série 2001-2019
2013;MG;Minas Gerais;20593356;IBGE/TCU série 2001-2019
2013;ES;Espírito Santo;3839366;IBGE/TCU série 2001-2019
2013;RJ;Rio de Janeiro;16369179;IBGE/TCU série 2001-2019
2013;SP;São Paulo;43663669;IBGE/TCU série 2001-2019
2013;PR;Paraná;10997465;IBGE/TCU série 2001-2019
2013;SC;Santa Catarina;6634254;IBGE/TCU série 2001-2019
2013;RS;Rio Grande do Sul;11164043;IBGE/TCU série 2001-2019
2013;MS;Mato Grosso do Sul;2587269;IBGE/TCU série 2001-2019
2013;MT;Mato Grosso;3182113;IBGE/TCU série 2001-2019
2013;GO;Goiás;6434048;IBGE/TCU série 2001-2019
2013;DF;Distrito Federal;2789761;IBGE/TCU série 2001-2019
2014;RO;Rondônia;1748531;IBGE/TCU série 2001-2019
2014;AC;Acre;790101;IBGE/TCU série 2001-2019
2014;AM;Amazonas;3873743;IBGE/TCU série 2001-2019
2014;RR;Roraima;496936;IBGE/TCU série 2001-2019
2014;PA;Pará;8073924;IBGE/TCU série 2001-2019
2014;AP;Amapá;750912;IBGE/TCU série 2001-2019
2014;TO;Tocantins;1496880;IBGE/TCU série 2001-2019
2014;MA;Maranhão;6850884;IBGE/TCU série 2001-2019
2014;PI;Piauí;3194718;IBGE/TCU série 2001-2019
2014;CE;Ceará;8842791;IBGE/TCU série 2001-2019
2014;RN;Rio Grande do Norte;3408510;IBGE/TCU série 2001-2019
2014;PB;Paraíba;3943885;IBGE/TCU série 2001-2019
2014;PE;Pernambuco;9277727;IBGE/TCU série 2001-2019
2014;AL;Alagoas;3321730;IBGE/TCU série 2001-2019
2014;SE;Sergipe;2219574;IBGE/TCU série 2001-2019
2014;BA;Bahia;15126371;IBGE/TCU série 2001-2019
2014;MG;Minas Gerais;20734097;IBGE/TCU série 2001-2019
2014;ES;Espírito Santo;3885049;IBGE/TCU série 2001-2019
2014;RJ;Rio de Janeiro;16461173;IBGE/TCU série 2001-2019
2014;SP;São Paulo;44035304;IBGE/TCU série 2001-2019
2014;PR;Paraná;11081692;IBGE/TCU série 2001-2019
2014;SC;Santa Catarina;6727148;IBGE/TCU série 2001-2019
2014;RS;Rio Grande do Sul;11207274;IBGE/TCU série 2001-2019
2014;MS;Mato Grosso do Sul;2619657;IBGE/TCU série 2001-2019
2014;MT;Mato Grosso;3224357;IBGE/TCU série 2001-2019
2014;GO;Goiás;6523222;IBGE/TCU série 2001-2019
2014;DF;Distrito Federal;2852372;IBGE/TCU série 2001-2019
2015;RO;Rondônia;1768204;IBGE/TCU série 2001-2019
2015;AC;Acre;803513;IBGE/TCU série 2001-2019
2015;AM;Amazonas;3938336;IBGE/TCU série 2001-2019
2015;RR;Roraima;505665;IBGE/TCU série 2001-2019
2015;PA;Pará;8175113;IBGE/TCU série 2001-2019
2015;AP;Amapá;766679;IBGE/TCU série 2001-2019
2015;TO;Tocantins;1515126;IBGE/TCU série 2001-2019
2015;MA;Maranhão;6904241;IBGE/TCU série 2001-2019
2015;PI;Piauí;3204028;IBGE/TCU série 2001-2019
2015;CE;Ceará;8904459;IBGE/TCU série 2001-2019
2015;RN;Rio Grande do Norte;3442175;IBGE/TCU série 2001-2019
2015;PB;Paraíba;3972202;IBGE/TCU série 2001-2019
2015;PE;Pernambuco;9345173;IBGE/TCU série 2001-2019
2015;AL;Alagoas;3340932;IBGE/TCU série 2001-2019
2015;SE;Sergipe;2242937;IBGE/TCU série 2001-2019
2015;BA;Bahia;15203934;IBGE/TCU série 2001-2019
2015;MG;Minas Gerais;20869101;IBGE/TCU série 2001-2019
2015;ES;Espírito Santo;3929911;IBGE/TCU série 2001-2019
2015;RJ;Rio de Janeiro;16550024;IBGE/TCU série 2001-2019
2015;SP;São Paulo;44396484;IBGE/TCU série 2001-2019
2015;PR;Paraná;11163018;IBGE/TCU série 2001-2019
